   -0.5000000000         6.881897000    
   -0.4980430528         6.861466110    
   -0.4960861057         6.841029166    
   -0.4941291585         6.820586168    
   -0.4921722114         6.800137116    
   -0.4902152642         6.779682009    
   -0.4882583170         6.759220848    
   -0.4863013699         6.738753633    
   -0.4843444227         6.718280364    
   -0.4823874755         6.697801040    
   -0.4804305284         6.677315663    
   -0.4784735812         6.656824230    
   -0.4765166341         6.636326744    
   -0.4745596869         6.615823204    
   -0.4726027397         6.595313609    
   -0.4706457926         6.574797960    
   -0.4686888454         6.554276256    
   -0.4667318982         6.533748499    
   -0.4647749511         6.513214687    
   -0.4628180039         6.492674821    
   -0.4608610568         6.472128901    
   -0.4589041096         6.451576926    
   -0.4569471624         6.431018898    
   -0.4549902153         6.410454815    
   -0.4530332681         6.389884677    
   -0.4510763209         6.369308486    
   -0.4491193738         6.348726240    
   -0.4471624266         6.328137940    
   -0.4452054795         6.307543586    
   -0.4432485323         6.286943178    
   -0.4412915851         6.266336715    
   -0.4393346380         6.245724198    
   -0.4373776908         6.225105627    
   -0.4354207436         6.204481001    
   -0.4334637965         6.183850322    
   -0.4315068493         6.163213588    
   -0.4295499022         6.142570800    
   -0.4275929550         6.121921957    
   -0.4256360078         6.101267061    
   -0.4236790607         6.080579828    
   -0.4217221135         6.059777270    
   -0.4197651663         6.038853293    
   -0.4178082192         6.017807897    
   -0.4158512720         5.996641083    
   -0.4138943249         5.975352850    
   -0.4119373777         5.953943198    
   -0.4099804305         5.932412127    
   -0.4080234834         5.910759638    
   -0.4060665362         5.888985730    
   -0.4041095890         5.867090404    
   -0.4021526419         5.845073658    
   -0.4001956947         5.822935494    
   -0.3982387476         5.800675912    
   -0.3962818004         5.778294910    
   -0.3943248532         5.755792490    
   -0.3923679061         5.733168651    
   -0.3904109589         5.710423394    
   -0.3884540117         5.687556718    
   -0.3864970646         5.664568623    
   -0.3845401174         5.641459109    
   -0.3825831703         5.618228177    
   -0.3806262231         5.594875826    
   -0.3786692759         5.571402056    
   -0.3767123288         5.547806868    
   -0.3747553816         5.524089847    
   -0.3727984344         5.500218715    
   -0.3708414873         5.476173195    
   -0.3688845401         5.451953286    
   -0.3669275930         5.427558989    
   -0.3649706458         5.402990303    
   -0.3630136986         5.378247229    
   -0.3610567515         5.353329767    
   -0.3590998043         5.328237916    
   -0.3571428571         5.302971677    
   -0.3551859100         5.277531049    
   -0.3532289628         5.251916033    
   -0.3512720157         5.226126629    
   -0.3493150685         5.200162836    
   -0.3473581213         5.174024654    
   -0.3454011742         5.147712085    
   -0.3434442270         5.121225126    
   -0.3414872798         5.094563780    
   -0.3395303327         5.067728045    
   -0.3375733855         5.040717921    
   -0.3356164384         5.013533409    
   -0.3336594912         4.986174509    
   -0.3317025440         4.958641220    
   -0.3297455969         4.930933543    
   -0.3277886497         4.903051477    
   -0.3258317025         4.874995023    
   -0.3238747554         4.846806043    
   -0.3219178082         4.818673038    
   -0.3199608611         4.790618876    
   -0.3180039139         4.762643558    
   -0.3160469667         4.734747084    
   -0.3140900196         4.706929455    
   -0.3121330724         4.679190669    
   -0.3101761252         4.651530728    
   -0.3082191781         4.623949631    
   -0.3062622309         4.596447378    
   -0.3043052838         4.569023969    
   -0.3023483366         4.541679404    
   -0.3003913894         4.514413683    
   -0.2984344423         4.487226806    
   -0.2964774951         4.460118773    
   -0.2945205479         4.433089585    
   -0.2925636008         4.406139241    
   -0.2906066536         4.379267740    
   -0.2886497065         4.352475084    
   -0.2866927593         4.325761272    
   -0.2847358121         4.299126304    
   -0.2827788650         4.272570180    
   -0.2808219178         4.246092900    
   -0.2788649706         4.219694464    
   -0.2769080235         4.193374872    
   -0.2749510763         4.167134029    
   -0.2729941292         4.140810252    
   -0.2710371820         4.114256991    
   -0.2690802348         4.087474244    
   -0.2671232877         4.060462012    
   -0.2651663405         4.033220294    
   -0.2632093933         4.005749092    
   -0.2612524462         3.978048404    
   -0.2592954990         3.950118230    
   -0.2573385519         3.921958572    
   -0.2553816047         3.893569428    
   -0.2534246575         3.864950799    
   -0.2514677104         3.836102685    
   -0.2495107632         3.807025086    
   -0.2475538160         3.777718001    
   -0.2455968689         3.748181431    
   -0.2436399217         3.718415376    
   -0.2416829746         3.688419836    
   -0.2397260274         3.658194810    
   -0.2377690802         3.627740299    
   -0.2358121331         3.597056303    
   -0.2338551859         3.566142821    
   -0.2318982387         3.534999855    
   -0.2299412916         3.503627403    
   -0.2279843444         3.472025466    
   -0.2260273973         3.440194043    
   -0.2240704501         3.408176635    
   -0.2221135029         3.376262199    
   -0.2201565558         3.344503873    
   -0.2181996086         3.312901659    
   -0.2162426614         3.281455555    
   -0.2142857143         3.250165562    
   -0.2123287671         3.219031681    
   -0.2103718200         3.188053910    
   -0.2084148728         3.157232251    
   -0.2064579256         3.126566702    
   -0.2045009785         3.096057265    
   -0.2025440313         3.065703938    
   -0.2005870841         3.035506723    
   -0.1986301370         3.005465619    
   -0.1966731898         2.975580625    
   -0.1947162427         2.945851743    
   -0.1927592955         2.916278971    
   -0.1908023483         2.886862311    
   -0.1888454012         2.857601762    
   -0.1868884540         2.828497323    
   -0.1849315068         2.799548996    
   -0.1829745597         2.770756780    
   -0.1810176125         2.742120674    
   -0.1790606654         2.713640680    
   -0.1771037182         2.685316797    
   -0.1751467710         2.657149024    
   -0.1731898239         2.629156573    
   -0.1712328767         2.601365010    
   -0.1692759295         2.573774461    
   -0.1673189824         2.546384926    
   -0.1653620352         2.519196406    
   -0.1634050881         2.492208900    
   -0.1614481409         2.465422408    
   -0.1594911937         2.438836930    
